老朽	老而 衰败 老朽 以终
一跃而起	跃 跳 单足 跃 双脚 跳 一跃而起 指 一下子 跳
跃然	形容 生动 活现 样子
跳高	田径赛 中 项目 包括 立定 助跑 跳 横杆
跳楼	NONE
跳皮筋儿	NONE
跳伞	借助 降落伞 空中 跳下 损坏 失灵 航空器 借助 降落伞 跳下
跳远	田径运动 项目 包括 立定 起跳 助跑 起跳 运动
撑竿跳高	田径运动 项目 借助 长竿 跳越 障碍 技巧运动
踢	用脚 触击 毽子 一脚 开 蹬 踏 皮球 ａ 抬脚 触击 皮球 ｂ 喻 推委 来回 扯皮 官僚主义 作风
踹	脚底 用力 猛 踢 把门 开
蹴	踢 鞠 踢球
尥蹶子	骡马 跳 后腿 踢
踢蹬	脚乱 蹬 乱 踢
踢打	踢
蹬	踩 践踏 凳子 引脚 向下 用力 三轮车 ｜～ 水车
蹬腿	伸腿 腿 向前 用力
蹬踏	登 踏上 高处
踩	用脚 登 踏 一脚 泥 高跷 水 一种 直立 水中 泳姿 踏 墒 播种 地方 踩实 土壤 保墒
踏	踩 步 一脚 空 引 现场 |～ 勘
登	山 车 门 天 台 场 ǎ～ 高 攀 科 程 堂 入室
践	踩踏 踏 履作
蹴	踢 鞠 踢球
踹	脚底 用力 猛 踢 把门 开
蹈	践踏 踩 袭 走 走过 老路 沿用 前人 旧例 节 信守 节操 海跳 海里 自杀 赴 汤 火循规 矩
践踏	比喻 摧残
踏平	NONE
踏上	NONE
跺脚	脚 用力 踏地 顿脚
跳脚	焦急 发怒 跺脚 指脚 用力 踏地
跺	提起 脚来 用力 踏地 脚
坐	NONE
坐坐	NONE
坐下	NONE
端坐	端正 坐
正襟危坐	NONE
打坐	NONE
入定	NONE
坐禅	僧尼 闭目 端坐 凝志静 修
坐定	入座 坐下
坐功	道家 指 静坐 修行 方式
入座	见入 坐
落座	坐上 座位
就座	放低 身体 坐 位置
就坐	坐位
静坐	NONE
枯坐	无所事事 地干 坐
倚坐	坐
默坐	NONE
闲坐	NONE
围坐	围成 一圈 坐
对坐	NONE
蹲	两腿 弯曲 坐 样子 臀部 不着 地上 引 闲居 家里 蹲班 留级 　～ 生 蹲点 基层单位 参加 工作 调查 研究
踞	蹲坐 龙 蹯 虎 形容 地势 险要 坐 箕 古人 席地而坐 两腿 字形 分开
猴	哺乳动物 种类 灵活 群居 子猿 ～～ 戏 头 拳 枣 中医 指 猕猴 内脏 结石
立	站 引申为 竖起 正 柜 足 ａ 站 脚 ｂ 处于 某种 立场 场屹 顶天
站	立久立 岗
直立	直竖 竖立
兀立	笔直 挺立
挺立	笔直 耸立
鹄立	如鹄 延颈 而立 形容 盼望 等待
立正	士兵 操练 一种 姿式 脚跟 并拢 成度 身体 直立 手和臂 自然 下垂 身体 两侧 目视 正前方 常用 作 口令
立定	军事 体操 口令 命令 行进 队伍 停下 立正
重足而立	叠足 而立 迈步 形容 恐惧
站稳	直立 保持平衡
站住	中止 行进 站立 走 门口 站住
站队	排成 队形 站
站柜台	指 营业员 商品 柜台 内侧 卖货
站立	站 站立 烈士墓 前
起立	站 用作 口令
站起	NONE
谡	
鲤鱼打挺	指 一种 体育 技巧 身体 动作 常见于 体操 武术 表演 比赛 中 取自 鲤鱼 跃出 水面 时 地面 扳动 身体 形象
分立	◎  公制 容量 单位 分升 旧译
靠边儿站	NONE
比肩而立	肩并肩 肩并肩 站立 比喻 距离 极近
一哄而起	严密 组织 一下子
鹊起	指 奋起
骑	跨 坐在 牲畜 东西 马 射 兵 善 堕 骑马 常会 掉 下马 来喻 擅长 事物 大意 招致 失误
跨	抬腿 向前 旁 越过 迈过 进 入 度
单骑	一人 一马 骑马
跨上	NONE
骑车	NONE
跨	抬腿 向前 旁 越过 迈过 进 入 度
迈	抬起 腿 跨步 步 进
翻过	NONE
横跨	拱形 界限 展开 伸展 延伸 界限
横亘	横亘
跨步	
迈出	超逸
跨过	NONE
迈入	NONE
迈向	NONE
跨栏	NONE
越	度过 超出 冬 级 轨 权 境 位 狱 俎 代庖
翻	歪倒 ǎ 反转 变动 位置 改变 推 ～～ 车 卷 滚 工 阅 身 修 建 改 脸人仰 马 ～～ 江倒海 形容 水势 浩大 多喻 力量 气势 壮大 云覆雨喻 反覆无常 玩弄 手段
翻越	跨过 越过
腾越	跳跃 跨过
翻翻	翻飞 飞翔 貌
低头	垂下头
垂头	低头
俯首	低下头
回头	把头 转向 后方
回首	把头 转向 后方
掉头	回头 泛指 转成 方向
转脸	掉 脸 脸 扭 方向
扭头	将头 转向
探头	伸头
仰面	抬脸 向上
睁眼	张开 眼睛 水浒传 第三回 鲁达   听罢 跳 起身 两包 臊子 手里 睁眼 看着   郑屠   道 洒家 特地 消遣 二十年 目睹 怪现状 第九回 却説我 听见 有人 唤 睁 眼看 时 却是     立在 床前 许地山 萤灯 公主 睁眼 乞丐 生气 说 流氓 冒昧 地到
张目	大张 双目 张目 怒喝
开眼	新奇 美好 珍贵 事物 增长 见闻
睁	张开 眼睛 眼
瞪眼	生气 耍态度
瞪	怒目 直视 眼 视
瞠目	张大 眼睛 直视 形容 受窘 惊恐 样子
闭眼	合上 双眼
合眼	闭上眼睛 指 睡觉 指 死亡
闭目	NONE
眨眼	NONE
眨巴	方眼 一开 一闭
忽闪	形容 闪光
闪动	不稳定地 抖动
眨	眼睛 很快 地一闭 一开 眼一 眼 形容 时间 短
飞吻	吻 手 再作 抛掷 状 以示 情爱
看	视线 接触 或物 书
瞧	病 热闹
瞅	空看 机会 找 闲空 睬 答理
视	觉 力 野鄙 注 ～～ 不见 熟 无睹
观	察看 止 赞叹 事物 完美 无以复加 风 ａ 察看 动静 以定 行止 ｂ 观察 民间 风俗习惯 生活 状态 阵 赏 察 感参
览	阅阅 游 展 ～～ 胜 观赏 美景 无余 一下子 清清楚楚 形容 事物 诗文 平淡无奇
相	交互 动作 来互 ～～ 识 á～ 符 继 间 à～ 形见 绌 得益 彰 互相配合 显出 长处
盼	希望 想望 望切
顾	回头 泛指 眄 名思义 回
张	开 展开 开 目 ａ 睁大眼睛 ｂ 助长 某人 声势 称为 某人 ～～～ 榜 铺 ～～ 灯 结彩 纲 举目
望	看往 远处 见眺 张 ～～ 尘 莫及 喻 远远 落后 风捕 影
觑	偷看 窥探 视偷 轻视 小看 面 面相
目	眼睛 光醒 历历 ～～ 指气 眼光 气色 示意 役使 形容 骄横 傲慢 神志 作 颐指气使
睃	斜 眼睛 一眼
探望	看望 多指 远道
观望	置身事外 静观 事态 发展
观看	做 观众
收看	看电视
察看	细看 以求 情况
见到	碰上
走着瞧	等着瞧 等过 一段时间 下结论 见分晓
见状	情况
见兔顾犬	顾 回头 兔子 回头 叫唤 猎狗 追捕 比喻 动作 稍迟 赶紧 想 办法
来看	NONE
总的来看	NONE
看出	明白 觉察 发现 意识
看到	词目 英文 读音 à à 释义 见到 示例 雨后 推开 窗子 清新 纯净 天地 示例 解放军 战士 不顾 危难 中 群众
看来	粗略地 判断
看齐	整队 时以 指定 人为 标准 排齐
看样子	
观展	NONE
观览	观看 阅览
看看	查看 细看 检查
见见	两人 而视
阚	姓
注视	地看
凝视	地看
凝眸	定睛
凝望	注目 远望
瞩望	希望 期待
注目	以目 注视 目不视 他物
瞩目	注视 注目
目送	目光 送别 离去 或物
定睛	眼睛 盯住 一处 形容 视线
逼视	靠近 目标 紧紧 盯
盯	注视 视力 看着 放松 视 梢
瞄	视力 一点 准猫 总 那条 鱼
睽睽	注视 样子
目不转睛	眼珠子 一动不动 盯 形容 注意力
只	量词 鸡
一斑窥豹	竹管 小孔 里 看豹 豹 身上 一块 斑纹 比喻 事物 一部分 指所见 略有 所得
以小见大	指 小事 大节 一小部分 整体
看不到	NONE
看得见	NONE
看热闹	NONE
依稀可见	模模糊糊
清晰可见	NONE
听	耳朵 接受 声音 力 写 觉聆 洗耳 恭
收听	听 广播
听取	接受 听 意见 汇报
听听	齗齗 斤斤计较 争辩 不休
倾听	听取
聆听	汉   扬雄 法言 五百 聆听 前世 清视 鑑莫近 於 斯 用于 书面语 常指 仔细 听
聆取	聆听
聆	听 听 取 教 à
洗耳恭听	洗 干净 耳朵 恭恭敬敬 听 讲话 请人 讲话 时 客气话 指 专心 听
静听	仔细 听
谛听	听 仔细听
偷听	暗地 听人 说话
窃听	偷听
属垣有耳	有人 靠着 墙 偷听
隔墙有耳	隔 一道 墙 有人 偷听 比喻 秘密 商量 用于 劝人 说话 小心 免得 泄露
听见	动 听到
闻	听见 诊 听 讯博 强记 过则 喜 鸡 起舞 听到 荒 鸡鸣而起 舞喻 志士 奋发
聪	听觉 失
视听	听
听到	NONE
欣闻	听到 消息 大为 喜悦 欢心
闻到	NONE
嗅到	NONE
说	用话 表达 话 明演 解
摄食	动物 摄取 食物
吃光	吃 完
饱餐	大吃 过度 吃
啄	鸟类 嘴 叩击 夹住 东西 食 木鸟 鸡 米
塞	堵 填满 空隙 堵 漏洞 尺 规
馕	一种 烤制 面饼 中国 维吾尔 哈萨克 民族 当作 主食
填	空缺 地方 塞满 补满 塞 补 充 空 ò 义愤 膺
狼吞虎咽	形容 吃 东西 猛 急 样子
塞入	指 外部 借助 物品 东西 施加 力量 物品 东西 放入 填补 住 漏洞 缺口
坐吃山空	坐 吃 山 空指 消费 生产 堆积如山 财富 耗尽
肉食	NONE
大吃大喝	狼吞虎咽 吃
暴饮暴食	猛 急 吃喝 身体 失调
啄食	指鸟   嘴 取食
嚼	牙齿 咬碎 细 慢咽味同 蜡
咀嚼	含 嘴里 细细 嚼 烂
噍	吃 东西 嚼 类尚 生存 倒 ǎ～ 反刍 作 倒嚼
反刍	吐出 嚼 先前 吞下 食物
咽	口腔 后部 肌肉 黏膜 管子 分三 上段 鼻腔 称 鼻咽 中段 口腔 称口 咽下 段 喉 后部 称喉 咽咽 呼吸道 消化道 通路 称 咽头 喉
哙	咽下去
吞	不嚼 细嚼 咽入 吐 咽 噬 狼 虎 咽气 山河 忍气 声
吞食	吞 吃
吞服	吞下   服用
冲服	开水 混合 口服
服药	吃药
服用	穿着 服饰 物品
咽下	NONE
吞咽	吞食 不加 咀嚼 咽下
喝酒	NONE
饮酒	NONE
喝	液体 饮料 流质食物 咽下去 水 酒 茶 粥
饮茶	NONE
喝茶	NONE
叼	嘴 衔住 嘴里 烟卷
含	衔 嘴里 不吐出 咽下 一口 水 漱剂 英咀 ǔ 华喻 反复 琢磨 体味 文章 妙处 饴弄 孙含 糖 逗 小孙子 形容 老年人 乐趣
衔	马嚼子
噙	含 一口 水 眼里 泪
敛息屏声	NONE
透不过气	NONE
做声	开口 发言
发音	发出 语音 清晰 读音
失声	下意识 叫喊
声张	张扬
嚷嚷	大声 喊 说话
发声	噪音 声响 如用 嗓子 或用 器具 一种 听见 效果
呻吟	指因 痛苦 发出 声音
哼	痛苦 声音 伤 重 一声
打呼	作 打呼 嚕 熟睡 时 发出 粗重 呼吸声
哼哼	发出 鼻音
呼唤	NONE
呼	喊 喊 声 吁 天号 á
唤	呼叫 喊 醒 召 呼
叫	呼喊 喊 嚣 呼喊 吵闹 阵 座 戏曲 演员 吸引 观众 苦 鸣冤 屈
招呼	言语 手势 方式 招引 呼唤 唐   赵嘏 十无诗 寄桂府 杨 中丞 东省 南宫 兴不孤 几因 诗 酒谬 招呼 宋   苏轼 新 酿桂酒 诗 收拾 小山 藏社 瓮 招呼 明月 到芳 樽 老残游记 第二十回 派 省 城里 招呼 戏班子 招呼 北柱 楼 厨子 预备 留   老残   过年 魏巍 东方 第三部 第一章 屋子里 招呼 一声 听见
传唤	法院 检察机关 通知 案件 前来
叫醒	NONE
千呼万唤	NONE
喊	大声 叫呼 口号 叫呼
呼	喊 喊 声 吁 天号 á
喝	液体 饮料 流质食物 咽下去 水 酒 茶 粥
嚎	大声 哭喊 长 鬼哭 狼 ～～ 啕 作 号啕 哭 丧
嚷	喊叫 大叫
喊叫	发出 高声 呼喊 胜利
叫喊	NONE
呼喊	高声 喊出
呐喊	NONE
叫嚷	发出 高声 呼喊
吵嚷	乱喊乱叫 乱 争吵
喧嚷	喧哗 大声 吵闹
呼号	悲伤 哭叫 处于 困境 援助 叫喊
叫号	呼唤 次序 号
喊话	距离 较远 高声 说话 常指 前沿阵地 敌人 大声 宣传 劝降
叫唤	大声喊叫
啧	争辩 人多嘴杂 烦言
疾呼	病 身体 舒适 病目 残 讳 忌医
大叫	号叫 呼喊 发出 大声 叫喊 呼叫 感情 激动 痛苦 害怕 快乐
号叫	大声哭喊
高喊	大声喊叫
高呼	大声 呼喊
大喊大叫	大声 叫嚷 形容 大肆宣传 造舆论
大声疾呼	疾快 大声 呼喊
大喊	NONE
呼叫	大声 叫喊
人声鼎沸	鼎 古代 煮食 器沸 沸腾 形容 人群 声音 吵吵嚷嚷 煮开 锅
惊呼	怪异 大声 呼喊
惊叫	吃惊 喊叫
喝六呼么	NONE
吼三喝四	大声 吆喝
吼	兽 大声 叫狮
咆哮	猛兽 海浪 发出 洪亮 回荡 声音
怒吼	大声吼叫 比喻 发出 宏大 雄壮 声音
欢呼	欢乐地 喊叫
喝彩	掷骰子 时 呼喝 作势 希望 得彩彩 骰上 标记 用以 大声 叫好
吹呼	吹牛 说大话
满堂喝彩	做 某事 在座 宾客 大声 叫好 齐声 喝彩
尖叫	发出 尖锐 刺耳 叫声
乱叫	胡乱 喊叫 秩序 大声 叫喊
惨叫	悲惨 呼叫
嘶鸣	指马 放声 鸣叫
念	惦记 想 惦 怀 ～～ 头 思想 想法 悼 ～～ 旧 物
飞	NONE
飞翔	回旋 飞
翱翔	空中 常指 高空 飞行 盘旋
回翔	盘旋 飞翔 汉   王褒 九怀昭 世世 溷 冥昏 违君 归真 乘龙 偃 蹇 高 回翔 上臻晋   傅玄 秋兰 篇 诗 双鱼 踊跃 两鸟 时 回翔 南齐书 祥瑞 志 十一月 虏 国民   齐祥   归入   灵丘 关闻 殷然 有声 仰视 之见 山侧 紫气 如云 众鸟 回翔 其间 唐   孟浩然 自浔阳 泛舟 经明 海诗 遥怜   上林   雁冰 泮 回翔
翥	鸟 向上 飞轩 龙翔凤
展翅	展开 翅膀
翱	翔 展开 翅膀 天空 回旋 地飞 雄鹰 天空 翔
翔	实 详细 确实
翩	很快 地飞
羿	古人 名 中国 夏代 穷国 君主 善于 射箭 称 后羿 夷羿
颉	仓 古人 名 相传 创造 文字
比翼齐飞	比翼 翅膀 翅膀 齐飞成 双 飞 比喻 夫妻 情投意合 事业
飞上	NONE
纷飞	纷纷 飞洒 飘落
满天飞	NONE
升空	浮力 某物 升 空中 漂浮 空中 指 精神 幻觉
右倾	思想观念 僵化 反动势力 表现 软弱 忍让
躺	身体 指 器具 车辆 横倒 床上 椅 柜
卧	睡 倒 躺 趴 倒 铺 室 底 埋伏 做 内应 ～～ 传中 槽 龙喻 隐居 尚未 露头角 杰出人才 薪 尝胆 形容 刻苦自励 志图 恢复 藏龙 虎喻 潜藏着 人才
睡	NONE
横躺竖卧	躺卧 凌乱 样子
躺下	NONE
卧倒	趴在 地上
躺倒	躺
静卧	NONE
安卧	安稳 卧息 史记 扁鹊 仓公 列传 年三十 疾步 年 四十 安坐 年 五十 安卧
卧床	  方床 俗称 卧床 太窄
卧床不起	病 卧床
趴	肚子 向下 卧倒 虎儿 身体 向前 跌倒 姿势 窝 ａ 母鸡 趴在 窝里 孵小鸡 ｂ 母 畜生 幼畜 前 趴在 地上 不动 ｃ 身体 垮 ｄ 机器 机动车 发生 故障 开动
卧	睡 倒 躺 趴 倒 铺 室 底 埋伏 做 内应 ～～ 传中 槽 龙喻 隐居 尚未 露头角 杰出人才 薪 尝胆 形容 刻苦自励 志图 恢复 藏龙 虎喻 潜藏着 人才
扑	轻打 拍 粉 蝇
伏	趴脸 向下 体前 屈 卧 案 读书
俯伏	趴在 地上 低头 屈服
趴下	倒下
伏案	趴在 桌子 读书 写字
俯身	弯腰 向前 向下 弯膝
欠身	身体 上部 向前 微倾以 表达 敬意
欠	疲倦 时 张口 出气 打哈
伸腰	挺直 身躯 比喻 得志 受人 歧视 欺侮
伸懒腰	伸展 躯体 肢体 以解 疲乏
伸伸	乐貌
前仰后合	身体 晃动 形容 大笑 困倦 直不起 腰 样子
前俯后仰	身体 晃动 形容 大笑 困倦 直不起 腰 样子
打滑	方言 地滑 站不住 行走 不稳 花城 年 第期 一位   英国   学者   米丽娜 金发 已成 霜 登山 路时 打滑 摔跤
滑	光溜 粗涩 溜光 ～～ 润 利
溜	滑行 下滑 冰
出溜	
跌倒	一头 栽倒 跌
摔倒	摔 地上 特指 角力 中 摔倒 动物 摔 翻
栽倒	跌倒 摔倒
栽	移植 树 植 花 培
绊倒	走路 跑步 时 物件 绊住 脚 摔倒
仰八叉	口 身体 摔倒 仰面朝天 躺
失脚	NONE
失足	摔 跤 倒
打滚	躺 地下 滚来滚去
翻滚	水上 滚动
翻身	翻转 身体
辗转	来回 翻转
折腾	翻来覆去
翻来覆去	NONE
辗转反侧	NONE
辗	古同 碾轧
爬	手和脚 一齐 着地 走路 虫类 行走 行 虫 爬行动物 泳
爬行	爬 向前 行走
匍匐	以腹 贴
蜿蜒	蛇类 曲折 爬行 样子
蛇行	全身 伏地 爬行
爬山	爬山 一项 运动 锻炼身体 陶冶 情操 爬山 穿 一双 好鞋 坚持不懈 耐力 爬山 一种 户外运动 身体 因素 多方面 有氧 运动 力量 成分 运动量 运动 强度 体力 身体素质 调节 说 爬山 一项 健身 作用 危险性 锻炼 方式
登山	山上 可攀登 小路
爬山越岭	越过 岭 山岭 爬 高山 越过 峻岭 形容 野外工作 旅途 辛苦
攀	抓住 东西向 上爬 登 高 越 桂 古代 指 科举考试 登第 折 é～ 附 援
爬	手和脚 一齐 着地 走路 虫类 行走 行 虫 爬行动物 泳
攀登	NONE
登攀	攀登 努力 向上
攀缘	援引 他物 攀拉 援引
攀援	抓住 依附 他物
窬	墙上 爬 穿 之盗 穿墙 爬墙 贼
高攀	地位 名誉 高 结交 攀亲   钟 府上 做官 仕宦 之家 做买卖 高攀不上 李六如 六十年 变迁
攀越	攀登 跨越
顺杆儿爬	俗语 方言 趋向 同一个 方向 杆 长 棍 爬 手 脚 一齐 着地 走路 虫类 行走 顺杆儿爬 顺情 说 好话 做 喜好 事
爬高	NONE
钻	穿孔 洞 用具 床 头电
钻进	NONE
潜入	作 潜入 南史 马仙 琕 传其 边境 单身 潜入 敌境 伺知 壁垒 村落 险要 处所 左传 庄公 二十九年 凡师 鐘鼓 曰 伐 曰 侵唐   孔颖达   疏寝 其鐘 鼓 潜入 其竟 侵陵 之清   叶名 沣 桥西 杂记 塞上 六歌班   扮二 小鬼 舞以 夜叉 睨 旁 一呼 潜入 丛中 冯雪峰 雪峰 寓言 园丁 假鸟 潜入 果树园 偷 果子吃
扎	刺 针 花
冲	用水 酒 浇注 水 撞击 茶 剂 洗 荡
闯	猛冲 劲儿
撞	冲打 碰击 钟 车 击顶
扑	轻打 拍 粉 蝇
冲突	冲杀 奔突
冲开	NONE
奔突	横冲直撞 奔驰
狼奔豕突	豕 猪 突 猛冲 狼 奔跑 猪 冲撞 形容 成群 坏人 乱冲 乱撞 搔扰
横冲直撞	乱冲 乱撞 蛮横无理
猛扑	某人 目标 猛冲
瞎闯	盲目 闯荡
猛冲	NONE
饿虎扑食	象 饥饿 老虎 扑 食物 比喻 动作 猛烈
挤	压力 排出 压 奶
挤挤	众多 貌
行礼	旧谓 行 婚嫁 之礼现 指 仪式 姿势 致敬
敬礼	行礼 尊敬
施礼	行礼
有礼	礼貌 文明
致敬	敬礼
请安	请 客人 安坐 仪礼 乡 饮酒 礼 主人 曰 请安 于宾 胡培 翚   正义 请安 蔡氏   德晋   云 留宾 安坐
下跪	屈膝 跪下
跪	两膝 腰 股 伸直 拜 叩
屈膝	跪下 跪倒
长跪	两膝 臀部 离开 足 直身 跪
跪倒	跪 地下
跪下	屈膝 跪倒 尤指 宗教 礼拜 时
膜拜	合掌 加额 长跪 拜 尊敬 畏服 礼式
顶礼膜拜	顶礼 佛教 拜佛 时 敬礼 跪下 两手 伏地 头顶 受礼人 脚 膜拜 佛教徒 一种 敬礼 两手 加额 跪下 叩头 虔诚地 跪拜
拜倒	恭敬地 跪下 礼拜 比喻 崇拜 屈服
朝拜	古代 官吏 朝见 君王 跪仪
狂喜	
销魂	形容 伤感 欢乐 到极点 魂魄 离散 躯壳 作 消魂
欢天喜地	NONE
欣喜若狂	欣喜 快乐 好像 狂 控制 形容 极点
喜出望外	希望 意料 想到 好事 非常高兴
大喜过望	超过 希望 希望 还好 感到 特别
兴高采烈	兴原 指 志趣 指 兴致 采原 指 神采 指 精神 烈 旺盛 原指 文章 志趣 高尚 言词 犀利 形容 兴致 高 精神饱满
乐不可支	支撑住 快乐 撑持 地步 形容 欣喜 到极点
其乐无穷	NONE
心花怒放	怒放 盛开 花儿 盛开 形容
不亦乐乎	NONE
得意洋洋	洋洋得意 样子 形容 称心如意 沾沾自喜 样子
合不拢嘴	指人 关不住 嘴
惊喜万分	惊喜 停止 惊喜
开颜	露出 微笑
喜形于色	形 表现 色 脸色 内心 喜悦 表现 脸上 形容 抑制 不住 内心 喜悦
眉飞色舞	色 脸色 形容 得意 兴奋 样子
春风满面	NONE
满面春风	NONE
喜上眉梢	喜悦 心情 眉眼 表现
欢颜	欢 笑开颜
喜不自胜	胜能 承受 喜欢 控制不了 形容 非常高兴
喜笑颜开	颜开 脸面 舒开 指 笑容 形容 满面笑容
欢眉喜眼	NONE
兴高彩烈	NONE
欣幸	欣喜 庆幸
庆幸	事情 意外 结局 感到高兴 喜悦
幸喜	幸亏
幸甚	希望 值得 庆幸
庆	祝贺 贺 祝 幸 典 功
拍手称快	痛快 拍掌 叫好 多指 正义 伸张 事情 结局 使人 感到 满意
大快人心	痛快 指 坏人坏事 惩罚 打击 痛快
皆大欢喜	皆 满意
喜从天降	NONE
额手称庆	额手 以手加额 把手 放在 额上 庆幸
和乐	和睦 快乐
可贺	NONE
弹冠相庆	弹冠 掸 帽子 灰尘 做官 指 官场 中一人 官 升 官 同伙 庆贺 官 做
悲喜交集	NONE
惊喜交集	交集 袭来 两种 事物 加在 身上 又惊又喜
又惊又喜	惊讶
转悲为喜	转 悲哀 喜悦
惊喜	又惊又喜
大悲大喜	经历 美好 事情 经历 悲哀 事情
悲喜	悲与 喜亦谓 悲 喜 淮南子 原道 训乐作 喜 曲终 悲 悲喜 转而 相 生唐   裴 铏 传奇 聂隐娘 五年 尼送   隐娘   一家 悲喜 问其 所学 清   蒲松龄 聊斋志异 连城 夫妇 出视   宾娘   已至庭 中 相见 悲喜 清   蒲松龄 聊斋志异 辛 十四 娘女 喜 遣 入府 探视 生 出狱 相见 悲喜 鲁迅 华盖 集 续编 支 日记 做 悲喜 这出 戏 做
喜怒哀乐	NONE
悲痛	悲伤 哀痛
哀痛	哀伤 悲痛 礼记 三年 问 三年 之丧 二十五 月 毕 哀痛 未尽 思慕 未忘唐   杜甫 杜鹃 行其声 哀痛 口 流血 所诉 何事 区区 清   百一 居士 壶 天录 卷上 哀痛 之音 不堪 卒 读 曹禺 北京 第一幕 同情 怜惜   愫 姨   嘤 嘤 隐泣 时 发自 衷心 哀痛
沉痛	深切 悲痛
痛	NONE
痛心	NONE
悲愤	悲痛 愤怒
痛切	悲痛
悲切	悲痛
断肠	割开 切断 肠子 形容 承受 感情 刺激 用以 形容 悲伤 之情
肝肠寸断	肝肠 一寸 寸断 开 比喻 伤心 到极点
黯然销魂	黯然 心怀 沮丧 面色 难看 样子 销魂 灵魂 离开 肉体 心怀 沮丧 好像 丢 魂 形容 悲伤 愁苦
长歌当哭	长歌 长声 歌咏 指 写诗 当当 作用 长声 歌咏 写 诗文 痛哭 抒发 心中 悲愤
椎心泣血	椎心 捶 胸脯 泣血 哭 眼中 流血 捶 拍 胸膛 哭泣 出血 形容 悲痛
痛定思痛	指 悲痛 心情 平静 追想 所受 痛苦 含有 警惕 未来 之意
人琴俱亡	俱全 亡 死去 形容 遗物 怀念 死者 悲伤 心情
不堪回首	NONE
五内俱裂	NONE
悲痛欲绝	穷尽 悲哀 伤心 极点
痛不欲生	NONE
万箭穿心	犹 万箭攒心 形容 万分 伤痛
欲哭无泪	NONE
悲恸	非常悲哀
悲伤欲绝	NONE
悲壮	心绪 哀伤 意气 激昂
叫苦连天	不住 叫苦 形容 痛苦
兔死狐悲	兔子 死 狐狸 感到 悲伤 比喻 同类 死亡 感到 悲伤
物伤其类	指 见到 同类 死亡 联想 将来 下场 感到 悲伤 比喻 见到 情况 遭遇 伤感
忧愁	忧虑 愁苦
发愁	烦恼 焦虑 事例 折磨
犯愁	发愁
忧	NONE
愁	NONE
忧伤	忧愁 哀伤
悄然	忧愁
忧思	忧虑 心绪
忧心忡忡	NONE
忧心如焚	如焚 火烧 愁得 火烧 形容 忧虑 焦急
心事重重	挂 沉重 顾虑
愁眉不展	展 舒展 忧愁 双眉紧 锁 形容 心事重重 样子
愁眉锁眼	锁紧 皱愁 紧 皱眉头 眯起 双眼 形容 苦恼 样子
愁肠百结	愁肠 忧愁 心肠 百结 极多 结头 忧愁 苦闷 心肠 好像 凝结 成 疙瘩 形容 愁绪 郁结 难于 排遣
郁郁寡欢	郁郁 发愁 样子 寡少 形容 苦闷 指 闷闷不乐
悲天悯人	悲天 哀叹 时世悯 怜惜 众人 指 哀叹 时世 艰难 怜惜 痛苦
愁思	NONE
背包袱	喻指 沉重 经济 精神负担
忧虑	忧愁 思虑
焦虑	心情 焦愁 忧虑 学习成绩 大为 焦虑
虑	思考 考 思 人无远 必有近忧
忧患	忧虑 祸患
担忧	感到 忧虑 不安
忧惧	忧愁 恐惧
堪忧	令人担忧 堪 字义 足以 设想 重任
令人堪忧	担心 使人 放心
令人担忧	NONE
过虑	忧虑 忧虑 事 过分 忧虑
杞人忧天	杞 周代 诸侯国 名 河南 杞县 一带 杞 国有 天塌下来 比喻 不必要 缺乏 忧虑 担心
庸人自扰	自扰 自找麻烦 指 本来 没事 找麻烦
分忧	分担 排解 忧患 摆脱困境
动火	生气 发火
动肝火	生气 发火
恼火	生气 发火
冒火	发怒 生气
光火	发怒 恼怒
发火	燃烧
上火	生气 恼火
挂火	恼火 发怒
动怒	发怒 生气
发怒	动怒 生气
生气	活力 生命力
动气	口 发脾气 怒形于色 怒到 破口 骂人 动手 打架 程度
火	NONE
炸	破裂 爆 ～～ 药 弹 响
撺	抛掷
嗔	怒 生气 怒 喝 èㄏㄜˋ～ 诟 斥 睨
发毛	汗毛 竖起 来喻 指 惊惧
发狠	横下心 咬牙
红脸	脸变 红指 发怒 害羞
眼红	名利 东西 时 羡慕 忌妒 想 据为己有 取而代之
红眼	发怒 控制
变色	改变 颜色
作色	脸上 变色 指 神情 变 严肃 发怒
发作	发生 作用
发脾气	沉不住气 生气
闹脾气	发脾气 生气
使性子	发 一阵 脾气
耍态度	怒气冲冲 吵闹 骂人
怒形于色	形 显露 色 脸色 内心 愤怒 脸上 显露出来
疾言厉色	疾 急速 说话 急躁 脸色 严厉 形容 对人 发怒 说话 时 神情
直眉瞪眼	形容 发脾气 发呆 样子
横眉竖眼	指耸眉 瞪眼 形容 怒目 相视 态度 凶狠 样子
七窍生烟	七窍 口 两眼 两耳 两 鼻孔 气愤 好像 耳目 口 鼻 出火来 形容 气愤 到极点
脸红脖子粗	形容 发急 发怒 时 面部 颈部 红胀 样子
拂袖而去	拂袖 甩袖子 生气 形容 生 气 甩袖子 走
黑下脸	NONE
不悦	形容
一气之下	生气 做 不该 做 事
震怒	愤怒 盛怒
盛怒	大怒 狂怒
怒火中烧	中心 中 怒火 心中 燃烧 形容 心中 怀着 愤怒
火冒三丈	往上升 形容 愤怒 到极点
赫然而怒	形容 大怒 火冒三丈 样子
怒不可遏	遏止 愤怒 难以 抑制 形容 愤怒
